i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,0,5
1,6,0,6
1,7,0,7
1,8,1,1
2,1,10,8
2,2,0,9
2,3,0,10
2,4,1,11
2,5,0,11
2,6,0,12
2,7,10,13
2,8,0,14
3,1,0,8
3,2,0,15
3,3,0,16
3,4,0,17
3,5,0,18
3,6,0,19
3,7,0,13
3,8,0,20
4,1,10,21
4,2,0,22
4,3,0,23
4,4,0,24
4,5,0,25
4,6,0,26
4,7,10,27
4,8,0,28
5,1,10,21
5,2,1,29
5,3,1,29
5,4,0,29
5,5,0,30
5,6,1,27
5,7,0,27
5,8,1,21
6,1,0,21
6,2,1,31
6,3,1,31
6,4,0,31
6,5,0,32
6,6,0,33
6,7,0,34
6,8,1,21
7,1,10,1
7,2,0,35
7,3,0,36
7,4,0,37
7,5,0,38
7,6,0,39
7,7,0,40
7,8,0,41
8,1,10,1
8,2,0,42
8,3,0,43
8,4,0,44
8,5,1,45
8,6,0,45
8,7,11,7
8,8,0,7
