tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2823300000000004,0.0095355131540525,1.4025500000000000,0.0024896340650341
1,3.8999999999999999,3.2692200000000007,0.0127903852778390,1.3998599999999999,0.0039085433490126
2,3.7999999999999998,3.2505899999999999,0.0170326252298998,1.3982500000000004,0.0048052112914580
3,3.7000000000000002,3.2423699999999998,0.0104413712381723,1.3964300000000001,0.0020916792828303
4,3.6000000000000001,3.2153499999999999,0.0131803410004783,1.3894499999999996,0.0030663133854480
5,3.5000000000000000,3.1918800000000003,0.0186815405027413,1.3826600000000000,0.0045216811033066
6,3.3999999999999999,3.1681999999999997,0.0165906399313990,1.3820600000000001,0.0033502305061660
7,3.2999999999999998,3.1424700000000003,0.0128126417607333,1.3733900000000001,0.0035380927065300
8,3.2000000000000002,3.0958899999999998,0.0170749943875054,1.3627500000000001,0.0043563044991012
9,3.1000000000000001,3.0807500000000005,0.0156878739441929,1.3585500000000001,0.0035316426772821
10,3.0000000000000000,3.0434200000000002,0.0099175803500654,1.3496599999999999,0.0030881565878548
11,2.8999999999999999,3.0230099999999998,0.0087029171354590,1.3486299999999998,0.0024613930111942
12,2.7999999999999998,2.9963400000000000,0.0114892142657557,1.3366199999999999,0.0028718093406229
13,2.7000000000000002,2.9379700000000000,0.0157214294656830,1.3256900000000000,0.0042672773000541
14,2.6000000000000001,2.9033500000000005,0.0106318938419584,1.3131500000000000,0.0028941032001873
15,2.5000000000000000,2.8753699999999993,0.0159399083365549,1.3069299999999999,0.0038286942944038
16,2.3999999999999999,2.8520099999999999,0.0156826404381121,1.3064300000000000,0.0042727313668582
17,2.2999999999999998,2.7605300000000002,0.0134090935148089,1.2799099999999999,0.0032103115113646
18,2.2000000000000002,2.7329099999999995,0.0119043544787428,1.2731699999999999,0.0032657498713499
19,2.1000000000000001,2.6592500000000001,0.0136627006440492,1.2512699999999999,0.0038780020629186
20,2.0000000000000000,2.6114599999999997,0.0139912289985149,1.2407400000000000,0.0039819928009311
21,1.8999999999999999,2.5352999999999994,0.0134048250019660,1.2218199999999999,0.0029523926267049
22,1.7999999999999998,2.4584299999999994,0.0112523878947237,1.2023100000000002,0.0037244373176808
23,1.7000000000000002,2.3820500000000000,0.0079573201798373,1.1774499999999999,0.0023348209543536
24,1.6000000000000001,2.2793700000000001,0.0082584374362762,1.1541500000000002,0.0030440196378399
25,1.5000000000000000,2.1958299999999999,0.0065882057918342,1.1302900000000000,0.0020791264191160
26,1.3999999999999999,2.0818600000000003,0.0113161948846186,1.0964600000000000,0.0033757698710400
27,1.2999999999999998,1.9712999999999998,0.0103517899686749,1.0638600000000000,0.0022794346277580
28,1.2000000000000002,1.8294299999999999,0.0116876007422870,1.0195099999999999,0.0033460573814566
29,1.1000000000000001,1.6808799999999997,0.0094212266245490,0.9711400000000001,0.0034186807071994
30,1.0000000000000000,1.5642400000000001,0.0100591716027383,0.9309200000000001,0.0039224935379877
31,0.8999999999999999,1.3889600000000000,0.0049539254917465,0.8669200000000000,0.0019801122302648
32,0.7999999999999998,1.2265999999999999,0.0061018576406424,0.8028599999999999,0.0024555243839148
33,0.7000000000000002,1.0681900000000000,0.0057920146178453,0.7357300000000000,0.0029941071753993
34,0.6000000000000001,0.9112399999999999,0.0042855363984246,0.6612199999999999,0.0018232327821148
35,0.5000000000000000,0.7689600000000000,0.0037033978392222,0.5894199999999999,0.0017475570249796
36,0.3999999999999999,0.6449599999999999,0.0037471529933478,0.5185000000000002,0.0018577764486970
37,0.2999999999999998,0.5475500000000000,0.0022485180304665,0.4576700000000001,0.0014168862574909
38,0.2000000000000002,0.4741199999999999,0.0029317344127098,0.4071600000000000,0.0023306746758062
39,0.1000000000000001,0.4139399999999999,0.0019765401870721,0.3641200000000000,0.0017545369759570
40,0.0000000000000000,0.3723100000000001,0.0022212834128044,0.3335299999999999,0.0015172379876312
